City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Namibe,AO,73.45,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
232,Lorengau,PG,83.95,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
235,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
236,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
239,Nan,TH,78.13,overcast clouds,18.8333,100.6667,สะเนียน2
241,Meulaboh,ID,77.2,broken clouds,4.1363,96.1285,Kost Pria
242,Moerai,PF,80.04,clear sky,-22.4333,-151.3333,Le Manotel
244,Bagalkot,IN,87.04,overcast clouds,16.1833,75.7,Hotel Shiva Sangam Residency
245,Kieta,PG,85.12,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
247,West Memphis,US,79.48,broken clouds,35.1465,-90.1845,Ramada by Wyndham West Memphis
252,Yenagoa,NG,77.14,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
254,Cockburn Town,TC,75.18,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
257,Freetown,SL,80.06,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
259,Manaure,CO,82.8,overcast clouds,11.7751,-72.4445,Hotel Palaaima
